P1,P1_House,Aspect,P2,P2_House,EventType,Type,Date,Time,Timezone,Age,Pos1_Deg,Pos1_Sign,Pos1_Dir,Pos2_Deg,Pos2_Sign,Pos2_Dir
Saturn,10,Sextile,Neptune,7,Begin,Tr-Na,2026-02-01,00:00:00,AWST,28.122,28.6,Pisces,Dir,28.467,Capricorn,Dir
Uranus,11,Quincunx,Sun,6,Begin,Tr-Na,2026-02-01,00:00:00,AWST,28.122,27.45,Taurus,Dir,26.483,Sagittarius,Dir
Neptune,10,Sextile,Mars,8,Begin,Tr-Na,2026-02-01,00:00:00,AWST,28.122,0.117,Aries,Dir,0.083,Aquarius,Dir
Chiron,10,Trine,Mercury,6,Begin,Tr-Na,2026-02-01,00:00:00,AWST,28.122,22.983,Aries,Dir,23.933,Sagittarius,Rx
Mercury,6,Semi-Square,Jupiter,8,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,3.633,Capricorn,Dir,19.533,Aquarius,Dir
Mars,8,Sesquiquadrate,ASC,1,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,22.2,Aquarius,Dir,6.517,Cancer,Dir
Saturn,10,Conjunction,Saturn,10,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,14.35,Aries,Dir,13.533,Aries,Dir
Saturn,10,Quincunx,NorthNode,3,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,14.35,Aries,Dir,14.433,Virgo,Rx
Uranus,8,Sextile,Pluto,6,Begin,Sp-Sp,2026-02-01,00:00:00,AWST,28.122,7.917,Aquarius,Dir,7.217,Sagittarius,Dir
Neptune,8,Conjunction,Mars,8,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,29.483,Capricorn,Dir,0.083,Aquarius,Dir
Neptune,8,Sesquiquadrate,NorthNode,3,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,29.483,Capricorn,Dir,14.433,Virgo,Rx
Neptune,8,Opposition,ASC,2,Begin,Sp-Sp,2026-02-01,00:00:00,AWST,28.122,29.483,Capricorn,Dir,29.25,Cancer,Dir
Pluto,6,Sextile,Uranus,8,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,7.217,Sagittarius,Dir,6.417,Aquarius,Dir
Pluto,6,Conjunction,Pluto,6,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,7.217,Sagittarius,Dir,6.267,Sagittarius,Dir
Pluto,6,Quincunx,ASC,1,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,7.217,Sagittarius,Dir,6.517,Cancer,Dir
NorthNode,3,Quincunx,Saturn,10,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,12.95,Virgo,Dir,13.533,Aries,Dir
NorthNode,3,Sesquiquadrate,Neptune,7,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,12.95,Virgo,Dir,28.467,Capricorn,Dir
ASC,2,Opposition,Mars,8,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,29.25,Cancer,Dir,0.083,Aquarius,Dir
ASC,2,Opposition,Neptune,7,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,29.25,Cancer,Dir,28.467,Capricorn,Dir
ASC,2,Semi-Square,NorthNode,3,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,29.25,Cancer,Dir,14.433,Virgo,Rx
MC,10,Sextile,Jupiter,8,Begin,Sp-Na,2026-02-01,00:00:00,AWST,28.122,20.15,Aries,Dir,19.533,Aquarius,Dir
Jupiter,1,Trine,Jupiter,9,Begin,Tr-Sa,2026-02-01,00:00:00,AWST,28.122,17.383,Cancer,Dir,18.2,Pisces,Dir
Jupiter,1,Trine,Chiron,5,Begin,Tr-Sp,2026-02-01,00:00:00,AWST,28.122,17.383,Cancer,Dir,16.85,Scorpio,Dir
Saturn,10,Sextile,Neptune,8,Begin,Tr-Sp,2026-02-01,00:00:00,AWST,28.122,28.6,Pisces,Dir,29.483,Capricorn,Dir
Moon,3,Sesquiquadrate,Venus,8,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,16.767,Virgo,Dir,2.55,Aquarius,Dir
Mars,9,Semi-Square,Saturn,10,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,28.75,Aquarius,Dir,13.533,Aries,Dir
Jupiter,9,Quincunx,Moon,2,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,18.2,Pisces,Dir,18.1,Leo,Dir
Jupiter,9,Semi-Square,Venus,8,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,18.2,Pisces,Dir,2.55,Aquarius,Dir
Saturn,11,Sesquiquadrate,Sun,6,Begin,Sa-Na,2026-02-01,00:00:00,AWST,28.122,12.183,Taurus,Dir,26.483,Sagittarius,Dir
